State/UT,S.No,Constituency Name
Andhra Pradesh,1,Araku
Andhra Pradesh,2,Srikakulam
Andhra Pradesh,3,Vizianagaram
Andhra Pradesh,4,Visakhapatnam
Andhra Pradesh,5,Anakapalli
Andhra Pradesh,6,Kakinada
Andhra Pradesh,7,Amalapuram
Andhra Pradesh,8,Rajahmundry
Andhra Pradesh,9,Narasapuram
Andhra Pradesh,10,Eluru
Andhra Pradesh,11,Machilipatnam
Andhra Pradesh,12,Vijayawada
Andhra Pradesh,13,Guntur
Andhra Pradesh,14,Narasaraopet
Andhra Pradesh,15,Bapatla
Andhra Pradesh,16,Ongole
Andhra Pradesh,17,Nandyal
Andhra Pradesh,18,Kurnool
Andhra Pradesh,19,Anantapur
Andhra Pradesh,20,Hindupur
Andhra Pradesh,21,Kadapa
Andhra Pradesh,22,Nellore
Andhra Pradesh,23,Tirupati
Andhra Pradesh,24,Rajampet
Andhra Pradesh,25,Chittoor
Arunachal Pradesh,1,Arunachal West
Arunachal Pradesh,2,Arunachal East
Assam,1,Kokrajhar
Assam,2,Dhubri
Assam,3,Barpeta
Assam,4,Darrang-Udalguri
Assam,5,Guwahati
Assam,6,Diphu
Assam,7,Karimganj
Assam,8,Silchar
Assam,9,Nagaon
Assam,10,Kaziranga
Assam,11,Sonitpur
Assam,12,Lakhimpur
Assam,13,Dibrugarh
Assam,14,Jorhat
Bihar,1,Valmiki Nagar
Bihar,2,Paschim Champaran
Bihar,3,Purvi Champaran
Bihar,4,Sheohar
Bihar,5,Sitamarhi
Bihar,6,Madhubani
Bihar,7,Jhanjharpur
Bihar,8,Supaul
Bihar,9,Araria
Bihar,10,Kishanganj
Bihar,11,Katihar
Bihar,12,Purnia
Bihar,13,Madhepura
Bihar,14,Bhagalpur
Bihar,15,Banka
Bihar,16,Munger
Bihar,17,Nalanda
Bihar,18,Patna Sahib
Bihar,19,Pataliputra
Bihar,20,Arrah
Bihar,21,Buxar
Bihar,22,Sasaram
Bihar,23,Karakat
Bihar,24,Jahanabad
Bihar,25,Aurangabad
Bihar,26,Gaya
Bihar,27,Nawada
Bihar,28,Jamui
Bihar,29,Khagaria
Bihar,30,Begusarai
Bihar,31,Samastipur
Bihar,32,Ujiarpur
Bihar,33,Darbganga
Bihar,34,Muzaffarpur
Bihar,35,Vaishali
Bihar,36,Hajipur
Bihar,37,Saran
Bihar,38,Maharajganj
Bihar,39,Siwan
Bihar,40,Gopalganj
Chhattisgarh,1,Surguja
Chhattisgarh,2,Raigarh
Chhattisgarh,3,Janjgir-Champa
Chhattisgarh,4,Korba
Chhattisgarh,5,Bilaspur
Chhattisgarh,6,Rajnandgaon
Chhattisgarh,7,Durg
Chhattisgarh,8,Raipur
Chhattisgarh,9,Mahasamund
Chhattisgarh,10,Bastar
Chhattisgarh,11,Kanker
Goa,1,North Goa
Goa,2,South Goa
Gujarat,1,Kachchh
Gujarat,2,Banaskantha
Gujarat,3,Patan
Gujarat,4,Mahesana
Gujarat,5,Sabarkantha
Gujarat,6,Gandhinagar
Gujarat,7,Ahmedabad East
Gujarat,8,Ahmedabad West
Gujarat,9,Surendranagar
Gujarat,10,Rajkot
Gujarat,11,Porbandar
Gujarat,12,Jamnagar
Gujarat,13,Junagadh
Gujarat,14,Amreli
Gujarat,15,Bhavnagar
Gujarat,16,Anand
Gujarat,17,Kheda
Gujarat,18,Panchmahal
Gujarat,19,Dahod
Gujarat,20,Vadodara
Gujarat,21,Chhota Udaipur
Gujarat,22,Bharuch
Gujarat,23,Bardoli
Gujarat,24,Surat
Gujarat,25,Navsari
Gujarat,26,Valsad
Haryana,1,Ambala
Haryana,2,Kurukshetra
Haryana,3,Sirsa
Haryana,4,Hisar
Haryana,5,Karnal
Haryana,6,Sonipat
Haryana,7,Rohtak
Haryana,8,Bhiwani-Mahendragarh
Haryana,9,Gurgaon
Haryana,10,Faridabad
Himachal Pradesh,1,Kangra
Himachal Pradesh,2,Mandi
Himachal Pradesh,3,Hamirpur
Himachal Pradesh,4,Shimla
Jharkhand,1,Rajmahal
Jharkhand,2,Dumka
Jharkhand,3,Godda
Jharkhand,4,Chatra
Jharkhand,5,Koderma
Jharkhand,6,Giridih
Jharkhand,7,Dhanbad
Jharkhand,8,Ranchi
Jharkhand,9,Jamshedpur
Jharkhand,10,Singhbhum
Jharkhand,11,Khunti
Jharkhand,12,Lohardaga
Jharkhand,13,Palamu
Jharkhand,14,Hazaribagh
Karnataka,1,Chikkodi
Karnataka,2,Belgaum
Karnataka,3,Bagalkot
Karnataka,4,Bijapur
Karnataka,5,Gulbarga
Karnataka,6,Raichur
Karnataka,7,Bidar
Karnataka,8,Koppal
Karnataka,9,Bellary
Karnataka,10,Haveri
Karnataka,11,Dharwad
Karnataka,12,Uttara Kannada
Karnataka,13,Davangere
Karnataka,14,Shimoga
Karnataka,15,Udupi Chikmagalur
Karnataka,16,Hassan
Karnataka,17,Dakshina Kannada
Karnataka,18,Chitradurga
Karnataka,19,Tumkur
Karnataka,20,Mandya
Karnataka,21,Mysore
Karnataka,22,Chamarajanagar
Karnataka,23,Bangalore Rural
Karnataka,24,Bangalore North
Karnataka,25,Bangalore Central
Karnataka,26,Bangalore South
Karnataka,27,Chikballapur
Karnataka,28,Kolar
Kerala,1,Kasaragod
Kerala,2,Kannur
Kerala,3,Vatakara
Kerala,4,Wayanad
Kerala,5,Kozhikode
Kerala,6,Malappuram
Kerala,7,Ponnani
Kerala,8,Palakkad
Kerala,9,Alathur
Kerala,10,Thrissur
Kerala,11,Chalakudy
Kerala,12,Ernakulam
Kerala,13,Idukki
Kerala,14,Kottayam
Kerala,15,Alappuzha
Kerala,16,Mavelikara
Kerala,17,Pathanamthitta
Kerala,18,Kollam
Kerala,19,Attingal
Kerala,20,Thiruvananthapuram
Madhya Pradesh,1,Morena
Madhya Pradesh,2,Bhind
Madhya Pradesh,3,Gwalior
Madhya Pradesh,4,Guna
Madhya Pradesh,5,Sagar
Madhya Pradesh,6,Tikamgarh
Madhya Pradesh,7,Damoh
Madhya Pradesh,8,Khajuraho
Madhya Pradesh,9,Satna
Madhya Pradesh,10,Rewa
Madhya Pradesh,11,Sidhi
Madhya Pradesh,12,Shahdol
Madhya Pradesh,13,Jabalpur
Madhya Pradesh,14,Mandla
Madhya Pradesh,15,Balaghat
Madhya Pradesh,16,Chhindwara
Madhya Pradesh,17,Hoshangabad
Madhya Pradesh,18,Vidisha
Madhya Pradesh,19,Bhopal
Madhya Pradesh,20,Rajgarh
Madhya Pradesh,21,Dewas
Madhya Pradesh,22,Ujjain
Madhya Pradesh,23,Mandsaur
Madhya Pradesh,24,Ratlam
Madhya Pradesh,25,Dhar
Madhya Pradesh,26,Indore
Madhya Pradesh,27,Khargone
Madhya Pradesh,28,Khandwa
Madhya Pradesh,29,Betul
Maharashtra,1,Nandurbar
